Place,Geo,Date,Source,Median Income
"Howland town, Penobscot County,Maine",Town,1990,P080A STF3,$23576
"Hudson town, Penobscot County,Maine",Town,1990,P080A STF3,$27069
"Industry town, Franklin County,Maine",Town,1990,P080A STF3,$26902
"Island Falls town, Aroostook County,Maine",Town,1990,P080A STF3,$22772
"Isle au Haut town, Knox County,Maine",Town,1990,P080A STF3,$16000
"Islesboro town, Waldo County,Maine",Town,1990,P080A STF3,$23068
"Jackman town, Somerset County,Maine",Town,1990,P080A STF3,$21719
"Jackson town, Waldo County,Maine",Town,1990,P080A STF3,$22353
"Jay town, Franklin County,Maine",Town,1990,P080A STF3,$25769
"Jefferson town, Lincoln County,Maine",Town,1990,P080A STF3,$31500
"Jonesboro town, Washington County,Maine",Town,1990,P080A STF3,$25074
"Jonesport town, Washington County,Maine",Town,1990,P080A STF3,$15574
"Kenduskeag town, Penobscot County,Maine",Town,1990,P080A STF3,$25880
"Kennebunk town, York County,Maine",Town,1990,P080A STF3,$38227
"Kennebunkport town, York County,Maine",Town,1990,P080A STF3,$34837
"Kingfield town, Franklin County,Maine",Town,1990,P080A STF3,$27045
"Kingman unorg., Penobscot County,Maine",Town,1990,P080A STF3,$18864
"Kingsbury plantation, Piscataquis County,Maine",Town,1990,P080A STF3,$60383
"Kittery town, York County,Maine",Town,1990,P080A STF3,$33793
"Knox town, Waldo County,Maine",Town,1990,P080A STF3,$20000
"Lagrange town, Penobscot County,Maine",Town,1990,P080A STF3,$24500
"Lake View plantation, Piscataquis County,Maine",Town,1990,P080A STF3,$14750
"Lakeville town, Penobscot County,Maine",Town,1990,P080A STF3,$14375
"Lamoine town, Hancock County,Maine",Town,1990,P080A STF3,$30625
"Lebanon town, York County,Maine",Town,1990,P080A STF3,$33432
"Lee town, Penobscot County,Maine",Town,1990,P080A STF3,$27813
"Leeds town, Androscoggin County,Maine",Town,1990,P080A STF3,$29777
"Levant town, Penobscot County,Maine",Town,1990,P080A STF3,$27461
"Lewiston city, Androscoggin County,Maine",Town,1990,P080A STF3,$24051
"Liberty town, Waldo County,Maine",Town,1990,P080A STF3,$19511
"Limerick town, York County,Maine",Town,1990,P080A STF3,$30256
"Limestone town, Aroostook County,Maine",Town,1990,P080A STF3,$22081
"Limington town, York County,Maine",Town,1990,P080A STF3,$30864
"Lincoln plantation, Oxford County,Maine",Town,1990,P080A STF3,$37500
"Lincoln town, Penobscot County,Maine",Town,1990,P080A STF3,$23144
"Lincolnville town, Waldo County,Maine",Town,1990,P080A STF3,$25526
"Linneus town, Aroostook County,Maine",Town,1990,P080A STF3,$22829
"Lisbon town, Androscoggin County,Maine",Town,1990,P080A STF3,$30356
"Litchfield town, Kennebec County,Maine",Town,1990,P080A STF3,$30625
"Littleton town, Aroostook County,Maine",Town,1990,P080A STF3,$24306
"Livermore Falls town, Androscoggin County,Maine",Town,1990,P080A STF3,$22446
"Livermore town, Androscoggin County,Maine",Town,1990,P080A STF3,$27431
"Lovell town, Oxford County,Maine",Town,1990,P080A STF3,$25110
"Lowell town, Penobscot County,Maine",Town,1990,P080A STF3,$24833
"Lubec town, Washington County,Maine",Town,1990,P080A STF3,$14398
"Ludlow town, Aroostook County,Maine",Town,1990,P080A STF3,$21765
"Lyman town, York County,Maine",Town,1990,P080A STF3,$36875
"Machias town, Washington County,Maine",Town,1990,P080A STF3,$19406
"Machiasport town, Washington County,Maine",Town,1990,P080A STF3,$24412
"Macwahoc plantation, Aroostook County,Maine",Town,1990,P080A STF3,$23333
"Madawaska town, Aroostook County,Maine",Town,1990,P080A STF3,$29112
"Madison town, Somerset County,Maine",Town,1990,P080A STF3,$21720
"Madrid town, Franklin County,Maine",Town,1990,P080A STF3,$22625
"Magalloway plantation, Oxford County,Maine",Town,1990,P080A STF3,$20000
"Manchester town, Kennebec County,Maine",Town,1990,P080A STF3,$37750
"Mapleton town, Aroostook County,Maine",Town,1990,P080A STF3,$26103
"Mariaville town, Hancock County,Maine",Town,1990,P080A STF3,$24205
"Mars Hill town, Aroostook County,Maine",Town,1990,P080A STF3,$18114
"Marshfield town, Washington County,Maine",Town,1990,P080A STF3,$33250
"Masardis town, Aroostook County,Maine",Town,1990,P080A STF3,$21083
"Matinicus Isle plantation, Knox County,Maine",Town,1990,P080A STF3,$21667
"Mattawamkeag town, Penobscot County,Maine",Town,1990,P080A STF3,$23088
"Maxfield town, Penobscot County,Maine",Town,1990,P080A STF3,$35357
"Mechanic Falls town, Androscoggin County,Maine",Town,1990,P080A STF3,$25909
"Meddybemps town, Washington County,Maine",Town,1990,P080A STF3,$17188
"Medford town, Piscataquis County,Maine",Town,1990,P080A STF3,$23026
